Fee-Earnings reports from 01-01-2025 to 12-24-2025
ストア,商品名,ASIN,出品者,トラッキングID,発送日,価格,発送済み商品,返品済み商品,売上,紹介料率,紹介料,デバイスの種類
ヘルスケア&家庭用品,雪印メグミルク DHA & EPA (60粒 / 30日分) 必須脂肪酸 青魚 魚油 魚不足 (ソフトカプセルタイプ/サプリメント),B0DCJPSFZ5,3rd Party,daily-gadget-22,2025-12-24 00:00:00,1891.00,1,0,1891.0,5.02,95.00,PHONE
キッチン&ダイニング,加湿器 超音波 ブルー ミッフィー えんとつのお家 卓上 コンパクト オフィス ミニ 大容量 超音波式 小型 ライト付き かわいい 上部給水 一人暮らし 450ml お手入れ簡単 充電式 USB給電 選べる３色,B0CPM9GVNB,3rd Party,daily-gadget-22,2025-12-24 00:00:00,2709.00,1,0,2709.0,1.99,54.00,TABLET
ヘルスケア&家庭用品,【指定第2類医薬品】ボラギノールA注入軟膏 2g×10個入,B0BXWDX213,Amazon.co.jp,daily-gadget-22,2025-12-24 00:00:00,1570.00,1,0,1570.0,5.03,79.00,PHONE
ビューティー&グルーミング,ツムラのくすり湯バスハーブ 650ml,B00MWJS5WM,Amazon.co.jp,daily-gadget-22,2025-12-24 00:00:00,2182.00,1,0,2182.0,5.00,109.00,PHONE
おもちゃ&ホビー,BEYBLADE X ベイブレードX UX-03 ブースター ウィザードロッド 5-70DB,B0CV7D5B6K,3rd Party,daily-gadget-22,2025-12-24 00:00:00,2000.00,1,0,2000.0,3.00,60.00,PHONE
オフィス用品&文房具,手帳 2026 スケジュール帳 2026年1月始まり 月間ブロック B5変型 ノートブックカレンダー・M パープル マークス 26WDR-NB1-PL,B0F3XJM85J,3rd Party,daily-gadget-22,2025-12-24 00:00:00,1100.00,1,0,1100.0,3.00,33.00,PHONE
服&ファッション小物,[§Ｄ∞ｄｅｌ　ｌｅｏｎｅ＼ｇｏｄｅｒｓｉ　ｌａ　ｖｉｔａ] [デルレオーネ] 先染め トランクス メンズ 抗菌防臭加工 2枚 4枚 6枚 セット 前開き ボタン付き 綿100％ (6枚セット M),B089LZB77W,3rd Party,daily-gadget-22,2025-12-24 00:00:00,1805.00,1,0,1805.0,7.98,144.00,DESKTOP
テレビゲーム,【任天堂純正品】Nintendo Switch 2 Proコントローラー 【Amazon.co.jp限定特典】Nintendo Switch 2 ロゴデザインステッカー 同梱,B0F54NGNRK,Amazon.co.jp,daily-gadget-22,2025-12-23 00:00:00,9073.00,1,0,9073.0,1.99,181.00,DESKTOP
楽器,AI ボイスレコーダー 文字起こし無料 オフラインモデルある AIライティングレコーダー AI要約 AI翻訳 発言者識別 ノイズキャンセリング 録音機 小型 高感度 議事録自動作成 録音したデータ翻訳 高精度な音声認識テクノロジー搭載 ICレコーダー 会議・大学講義・ゼミに最適,B0FKMPL85F,3rd Party,daily-gadget-22,2025-12-23 00:00:00,13908.00,1,0,13908.0,2.00,278.00,DESKTOP
おもちゃ&ホビー,GoatGuns FN Scar Model | 公式ライセンス商品 | 1:3スケール ダイキャストメタルビルドキット,B0CM6XHKNM,3rd Party,daily-gadget-22,2025-12-23 00:00:00,20215.00,1,0,20215.0,3.00,606.00,DESKTOP
